Year,Month,Rainfall_mm,Maize_Yield_bags_per_ha
2024,April,26.45071229516849,17.650256271259295
2022,August,252.71532807151038,26.459804031851835
2019,September,193.48769937914997,24.47715067573894
2012,March,26.688192232610874,19.483516338034352
2022,April,11.957884210975719,17.613674283516378
2013,December,0.0,14.348540492859488
2015,April,22.62943407349051,13.743791004675444
2014,October,27.126232512304508,16.86430830575346
2013,August,227.80753319498365,24.94282659613371
2010,August,229.37963886718182,21.44388797693343
2014,June,216.98473153382332,24.138086289038235
2024,December,1.0129230703188576,12.53959151522361
2018,September,188.83425913212227,25.198431939095684
2023,March,0.0,16.031396036691344
2016,August,233.99041965121793,23.54212287617906
2016,January,0.0,18.984556369017877
2011,February,11.797541628930992,14.396958041466835
2023,July,258.33817368154786,20.71725186332985
2017,September,200.13295392507132,20.959059002115737
2020,November,0.0,15.673722471738248
2020,July,257.07699869993115,23.560477443803183
2022,January,0.0,14.677792608821424
2013,December,0.0,13.840311583210584
2014,August,236.0904184356032,26.170403940353513
2010,March,8.154274343526922,12.614633661354592
2018,July,250.86125954092194,22.723440008049597
2021,September,186.8461699954106,26.20929156459992
2015,March,18.464992837439265,19.034492676529833
2016,November,0.0,14.661575248297572
2011,July,250.96895147105346,25.440112632374497
2019,September,189.81238643232064,24.59979716842321
2015,January,0.0,12.88758675183866
2013,February,24.18788733591297,20.429255721287802
2014,May,95.91984817629499,24.886224216574863
2014,March,8.424540375714512,14.878318987204306
2017,May,102.4209340826262,26.27051969234827
2021,December,0.0,18.409287311628013
2022,June,155.70382343865384,26.466713750100418
2022,August,244.30570602357255,23.161418150911224
2019,October,54.37641164803254,16.290476385670843
2021,July,242.70492168243732,24.534652982063314
2012,February,34.16841067112274,17.58340382959681
2015,November,0.0,14.276485912830928
2020,November,13.731031765531112,17.36389127999292
2022,October,45.05359694349442,20.563375356860053
2024,July,247.4561632402206,25.572189793338392
2024,November,0.0,14.624675706804465
2011,December,0.0,12.352970103735764
2015,May,101.44180415596864,23.670693504079026
2014,October,53.07670184963691,19.697968649239918
2017,February,0.0,14.438709354469283
2016,December,0.0,13.675445461556762
2023,January,0.0,16.08810171362908
2023,January,28.292788518157952,18.444632220984772
2020,July,249.86325586084146,23.386845812624443
2011,October,24.21843177051438,17.6666031490902
2023,July,246.9034531491154,28.58366261198781
2021,October,50.114585528283165,20.542028416920324
2012,January,0.0,12.942643924760937
2010,February,29.142342217725307,19.676456191907377
2020,August,254.8654792056457,21.49977309740323
2021,August,264.0419146640415,20.07738484829603
2010,January,8.802856407004054,20.588372659299694
2020,March,0.0,14.147404540794458
2022,April,20.494770476314617,16.360473218146534
2018,March,0.0,15.417125949612055
2016,September,181.06544429410843,25.946844309807208
2016,September,183.20863648649296,28.096780205604343
2020,February,0.25120061495644386,14.66298770347926
2010,September,209.20275826054504,22.28243104012494
2024,June,198.41189901906193,27.512586100918416
2017,January,0.0,15.64926771706461
2024,November,3.898241913726353,17.26009698323169
2022,May,78.44573933682878,19.265106416178448
2014,January,7.829123484253465,16.701126130406244
2016,October,56.75739275518815,21.136274346844264
2020,November,0.0,15.744507394322008
2013,December,4.396087099480218,14.320276896155262
2023,November,27.98661766717135,19.015245319343553
2015,December,0.0,16.59310721726766
2018,June,180.37977494659017,26.574125938781886
2011,July,263.37893368511106,21.273021388556735
2017,August,257.45064193866483,24.025981272859617
2019,July,258.33090239991736,26.952866884072282
2016,April,15.319178259956942,15.35659575659227
2022,April,5.65728355561715,14.249764596907177
2014,February,10.843474358788438,17.098124899531527
2024,December,4.1503619899502855,17.377437941592394
2014,April,19.195028378168605,20.149596484825235
2013,January,0.0,20.72033833317924
2018,May,106.3850102164751,21.659934870918892
2011,July,229.9366125290833,25.21684524922243
2022,June,191.64805822011223,26.38729781009445
2011,March,10.098564368603173,16.19439282580335
2019,June,182.29809422897392,21.968721179502698
2015,December,0.0,16.992797588646944
2024,February,15.21140616195306,14.361938244839784
2019,March,5.59771388776773,16.645787539105797
2010,March,0.0,15.587450211891056
2012,June,195.87313077669,22.638472520142585
2018,February,17.36681040522425,18.186702745405384
2013,February,28.245768647629156,20.19880008406514
2022,July,225.33495948064365,22.507772354836277
2014,October,60.7255290081299,21.759652072707276
2020,July,253.7257152945907,31.074818652599728
2014,April,27.563357660397507,20.300052302029634
2024,November,14.310026452398034,18.066832302350083
2010,February,7.270961330394816,17.567342201068747
2016,August,231.40762178193643,23.733539713337596
2022,April,11.719546782563448,16.668254998252888
2015,October,87.71987850010262,18.710783367605757
2011,April,29.293902855617702,14.9608699426731
2023,July,238.9210220131585,26.1363951434122
2021,September,197.96420028643195,22.747696696562077
2018,March,0.0,16.639195497869352
2020,October,42.04450052424295,19.72340122848227
2021,November,0.6835775985572068,14.05048550193257
2014,April,51.15916133987989,21.287849532643094
2019,June,164.6228612001359,25.30197171023777
2020,February,2.0732030284741807,17.207483145428476
2017,March,0.0,15.050527117066203
2019,April,26.574809184706858,19.66972363532751
2020,April,0.9955538941633577,14.718220010620891
2015,December,0.0,13.973341534852578
2021,December,26.481813604216452,18.73961335564675
2013,June,176.08674068497433,26.83112981456956
2015,August,274.8323429551895,24.36697853999109
2023,August,220.2094505106898,23.546491881156015
2016,January,19.00366723779934,15.808715319899266
2015,April,25.657291422193428,19.402766599518554
2023,October,39.09604292632876,18.924771752170706
2016,May,48.38098989896391,17.75415557133843
2011,January,0.0,12.784433636070302
2010,October,77.48616955897452,18.986991614571338
2017,May,90.39933269954524,22.85299728036615
2013,July,267.61909933599173,19.825143727106006
2020,July,263.4474562823244,22.93142273404204
2013,February,0.0,16.204206948526544
2022,July,248.98589543360205,22.371850115049646
2016,April,20.047031274850283,16.553887145079862
2013,June,196.70276017876873,26.240566689765256
2014,June,218.7902522421803,22.07296390164271
2020,June,226.995500619844,20.433251277402068
2010,October,50.72322357446625,21.162888936075923
2015,July,250.2148780160255,22.27556223191721
2020,September,193.87816624464088,23.956217081188168
2013,January,0.0,16.97920419404205
2014,May,102.35523228947571,21.80556782363231
2021,February,25.49399813149876,18.452967657736426
2021,May,109.1929317825844,24.7551654109835
2023,October,40.56507483616892,18.04700841297311
2022,December,11.209404076848926,17.673660949239192
2022,January,0.0,15.514654766617564
2018,October,72.16497343682637,20.328339336164234
2012,May,105.20646071755057,22.91739263961362
2011,January,0.0,17.47755370397438
2020,May,109.38124523482045,25.130916714625908
2023,April,38.582182107314935,19.042307918006927
2011,September,207.22929456942447,24.15703614198854
2010,April,23.86249528732663,17.426037777894603
2014,December,1.454939474890773,16.626812459499355
2022,November,0.0,19.464774551370922
2016,October,37.90973927750447,16.514730116768508
2012,December,17.371663102501017,18.648932599311944
2024,March,12.361797255782328,17.825920912735132
2015,September,196.81629840729627,23.120654889391368
2016,March,4.137068372905895,14.367345360832985
2014,June,209.62679600126626,24.44256112460553
2024,August,230.61754204811234,23.588587647796285
2024,November,6.193971814134365,14.809990264268276
2022,September,184.66669406650354,25.48084101293072
2014,August,246.67449856663083,22.652467021524245
2016,September,189.93442541572517,25.434492032213093
2012,April,0.0,12.46507245124689
2013,November,0.0,14.853105696576307
2016,April,23.663613483970067,20.61839270923225
2021,August,255.8648943480303,22.953478281741805
2011,November,0.0,13.274941270724383
2024,November,0.0,14.702682722159725
2010,July,250.84077840507135,21.840013347384428
2021,April,26.790197713617584,21.02350477101544
2020,July,244.36859777314714,24.56042853041352
2021,July,256.3521598756667,22.44866336092452
2022,September,200.36138722715626,24.90080897461933
2011,June,196.46514147823248,23.372650167119605
2020,December,0.3676526138841407,16.31566251425704
2022,December,21.767154116925624,19.407251597293385
2010,November,32.29773686267335,16.920517313457474
2016,April,32.08480955081017,18.803012941790673
2011,December,32.847043998265086,16.88720569127514
2014,September,184.40417236728837,23.795395688839722
2016,April,0.0,14.228489956638478
2012,December,0.0,15.580787572952417
2020,January,5.1263396366573915,19.578102551769664
2022,January,14.256357572790753,15.604906187163616
2014,April,5.52377992977463,16.851252932014898
2017,May,77.19650189469037,25.492349764902187
2015,May,114.69160181081931,22.782092633579616
2020,May,71.30298206363683,24.163232235853407
2010,March,1.2819023212107317,17.893585092569346
2012,March,0.0,14.081249954092456
2018,July,246.07865549577275,23.784044573890778
2010,August,236.24901792781134,25.296514259342025
2015,May,80.98569355926108,21.774091165975246
2022,December,1.804434475678483,16.502779796357668
2016,April,29.674223171333345,15.971364062581634
2023,July,222.98828743896567,27.000955786716478
2020,March,7.984710179693875,14.626248947297722
2013,October,76.26727963283784,22.003206086154158
2019,July,263.6894577609574,23.033859360723298
2016,August,273.9112188732298,25.864886575809706
2017,February,8.265537772813897,18.095324246970467
2019,December,9.680639243777213,19.03465772054219
2021,April,4.526148091298433,17.1347811088938
2020,March,18.876367302743816,13.694273523085675
2021,December,0.0,11.2015356444798
2024,January,0.0,16.715084511591925
2021,January,22.535355781440423,17.709655307176288
2015,October,77.42923318356938,19.08356842197704
2012,July,220.44926340967268,24.398061729091236
2023,September,202.7609817340896,24.779191816961948
2011,May,65.98836849940184,20.922164285745968
2012,October,33.43295749242721,19.89477571283508
2011,September,202.49897369145273,22.968379282194686
2015,August,235.29199623994958,21.964411501762516
2013,April,18.05981354090242,19.04289744388029
2020,September,182.21410930496685,26.006622347031385
2018,December,0.0,13.694254335475312
2020,August,241.39454460068163,21.798728323143727
2021,July,237.69526041979228,21.60562129235001
2022,January,29.47087699374584,18.272822042033862
2023,October,42.50411738011122,19.756424500241774
2015,September,195.31507925463757,24.487695305160806
2016,February,21.21250050065138,18.95097442091792
2022,June,187.04248278584208,23.833484549573978
2010,March,0.0,10.67615767052883
2019,January,0.0,18.01374853488905
2011,December,24.674515702519255,17.26412609921316
2010,September,205.6483544458365,25.425148883353295
2024,March,49.183212126828565,22.105240226032855
2024,September,195.08123612778851,23.020686013856512
2015,April,0.0,15.686927271734447
2012,December,0.0,12.435492580804652
2010,January,0.0,13.116903992771212
2020,April,44.30712452608847,21.239512577585362
2018,February,11.880410380250739,19.480629353606183
2010,May,98.16052461471428,21.268121677941835
2010,July,268.84686115904486,23.70969066602494
2012,January,0.0,14.899322643832784
2014,January,0.0,12.514400538071328
2015,June,208.8926632129746,28.568397484678748
2021,August,222.0214863927129,25.596196877785253
2021,February,2.2403614631725954,14.54620250464755
2010,October,44.11409113641696,17.73252439233577
2012,April,19.727824419172403,15.631948687554436
2011,April,23.05685238669758,17.51017830627048
2018,August,239.41577929700387,22.12580222707572
2014,November,0.0,16.790782451651513
2017,November,7.513757814365711,14.119438387406513
2016,December,1.489984581438388,16.94302656532305
2015,September,171.95892078317942,26.067322698268516
2015,November,0.0,16.42119733718632
2015,July,234.55111265186224,20.49748863120411
2013,August,218.58686343175256,24.649486084472546
2017,October,56.89583752582223,18.644976304250555
2013,January,9.578886881660608,12.963953136513927
2020,April,18.00880302029025,14.70562323079935
2020,January,0.0,15.37479734263283
2024,December,0.0,14.51088891154035
2018,February,27.09439213821661,16.83217878627926
2024,May,109.53538168097712,21.25100756023109
2011,October,60.947062668729245,23.631056675154756
2018,January,0.0,13.686209489059047
2016,January,8.656081907708101,15.786287747748606
2010,September,202.56718810056964,23.63924623293841
2016,December,1.2988468120934988,15.108414884009553
2010,August,260.5167309248971,23.563958498952744
2015,August,248.06403993112804,22.78643200823121
2024,March,0.0,14.41488362436076
2019,October,58.91678213567445,19.759687343845556
2019,February,16.346622853446192,21.11607324184923
2010,June,208.06687055147538,24.111628168898335
2019,September,215.01820883245918,23.81596676900678
2021,December,0.0,13.263827378165193
2016,April,0.0,14.576973031917383
2017,June,195.27627568784328,28.28286524488327
2013,March,7.90391060646244,15.67667974701773
2014,February,24.44108371775234,13.318156451512031
2019,September,200.5342183716285,26.415234150533816
2019,August,220.82120631330238,26.787596820951897
2020,January,5.077446112416212,14.990054214632003
2020,September,206.49172799159427,29.330842220014603
2014,March,5.7279938258774274,16.385221531814647
2021,May,90.10958650689633,20.876225329682068
2018,March,15.455037248163684,15.165318918081306
2017,June,196.0734935582909,23.967177947919243
2016,May,104.18469738619588,23.942936177447088
2013,September,212.5630991638685,23.661860574143727
2014,September,192.95187597059942,22.99214724108805
2015,March,0.0,16.034600986089707
2018,November,11.354829249680279,14.623311266423402
2010,January,13.044088801584902,19.34899283238198
2017,September,203.2015235483555,28.592098416626666
2010,October,41.39316201344641,16.747133932387953
2011,March,0.0,18.272088622978366
2016,April,28.815484845310866,18.03180337141156
2022,March,7.199529394797304,13.791021112989391
2024,April,55.68627969425239,20.62227204707376
2015,March,4.640921919073393,17.22629136817963
2017,December,7.215138476050698,16.491385537003165
2017,December,0.0,16.22293671427199
2014,November,28.230367447125506,20.78063368273959
2024,November,23.897799399590955,16.66719953745053
2011,November,0.0,15.028426159800706
2010,December,0.8358736843304191,17.558447789404735
2015,February,0.0,18.339100638921227
2020,March,0.6298815213151587,14.49414603918793
2014,December,0.0,11.970286656268463
2019,February,24.34755875942872,17.87833119513196
2012,February,0.0,12.68984245587277
2018,October,47.96322951064808,23.10793042220145
2021,May,93.10612972954593,19.72855068659024
2019,September,193.31385403871084,24.40137524769543
2010,July,205.54670035587642,24.695620097242493
2020,November,0.0,16.67241272962684
2010,December,27.73434142418018,20.297680824637077
2015,October,48.96666964167754,17.636028083078678
2019,March,41.60039704874791,19.37210183890971
2012,January,0.20893937869419305,15.254302181979778
2014,February,14.971271411517824,16.54093479829284
2015,March,0.0,14.186282117519216
2015,November,0.0,14.193150457732472
2013,April,8.307313259842534,16.36934685136764
2013,March,0.0,18.287985977165377
2013,January,0.0,17.463013703844926
2012,February,30.691277887464437,14.16529118552019
2020,February,6.859686088794769,15.26384777762721
2016,December,0.0,13.72436662481825
2010,February,0.0,18.784540886847246
2024,November,14.035175897211918,19.279813338147505
2017,November,10.825080960648528,14.155850487974206
2024,October,45.132196005803394,20.521951756190724
2012,March,0.0,16.705996860344776
2023,July,242.39511902762797,23.08241312135925
2010,February,22.664399523052374,18.462179269739575
2011,March,0.0,17.598659606728496
2021,April,2.784050086001539,16.810223342712284
2018,December,8.896518869525757,15.59798674488205
2024,June,199.89199533363177,22.379065403723427
2017,March,16.860405288103514,16.645837518285468
2019,January,0.0,17.37801845167378
2018,March,0.0,12.463077407272882
2010,July,222.65056239714144,25.66629876085354
2013,October,33.793559712555755,22.096691409510928
2020,September,165.77105888174418,28.33217390697604
2015,August,246.16526200803926,23.49322120728147
2013,October,44.826213697865754,20.316686477727625
2011,January,0.0,17.486603764033045
2022,July,247.7134147299306,23.92507156260748
2019,December,0.0,15.166108752557866
2011,October,57.61702653338089,17.08638555632739
2018,March,0.0,16.76652818804543
2023,November,2.562981571919128,15.186864674700509
2011,August,243.2765089959809,24.493988433507806
2011,November,0.0,13.723390549195376
2014,September,199.93767882646523,22.92400113367375
2013,April,25.12379133571708,14.39884078845757
2015,May,112.43733455988465,24.5757808364142
2012,October,56.840446014708135,22.41489924653422
2019,January,24.98211666693865,19.819576884117478
2013,April,0.0,12.720846066528598
2019,June,185.62772133456482,25.04268072619581
2021,March,10.764885307036845,14.956355160150952
2012,February,14.801501467156175,15.302070960041558
2013,March,0.0,12.466677806303556
2022,December,0.0,12.576630788767334
2018,February,0.0,17.38728359321568
2023,March,0.0,20.544764129674782
2016,September,204.39976851321333,25.19106763634023
2021,June,182.1246332972818,26.399265538823606
2024,October,44.36543260643339,19.724998867678732
2010,April,57.40126807403192,20.298745479594082
2013,January,17.239099894285136,15.646313968781481
2023,March,2.4751726425455747,19.08708197278282
2020,June,185.59549413318348,28.61550424961551
2018,April,29.616279031832132,17.09048738854193
2018,May,106.48611608583282,25.323821560809765
2021,October,62.327149433257944,17.705480632068245
2023,April,8.092942362626971,15.639351789235262
2012,August,241.8834985634993,25.09247397676377
2021,August,245.6655150139988,21.035723323963687
